iter	MultiClass
280	0.05220184372
281	0.0520164905
282	0.05179233779
283	0.05158623669
284	0.05137175166
285	0.05111824051
286	0.05088173012
287	0.05074033845
288	0.05059696234
289	0.05043694495
290	0.05028557727
291	0.05008590485
292	0.04980715628
293	0.04962555052
294	0.04950936192
295	0.04933455452
296	0.04916880061
297	0.04896767659
298	0.04873006981
299	0.04857716419
300	0.04835721711
301	0.04816750892
302	0.04798898446
303	0.04780404319
304	0.04762820866
305	0.0473447298
306	0.0471104147
307	0.04697982114
308	0.0468015796
309	0.04664961776
310	0.0464369289
311	0.04629438704
312	0.04612366335
313	0.04597366427
314	0.04585543103
315	0.04570023745
316	0.04552439079
317	0.04537917975
318	0.04521439525
319	0.04501923018
320	0.04489488287
321	0.04468538525
322	0.04451514242
323	0.04433455667
324	0.04416584623
325	0.0440268934
326	0.04386881975
327	0.04370548425
328	0.04358699759
329	0.04344960035
330	0.04326807526
331	0.04315932662
332	0.04301660394
333	0.04282953403
334	0.04269353266
335	0.04255844686
336	0.04242388194
337	0.04227210611
338	0.04213724047
339	0.04198917015
340	0.04183275139
341	0.041656469
342	0.04154000793
343	0.04139032776
344	0.0412666451
345	0.0410780867
346	0.04091365294
347	0.04074906565
348	0.04058704522
349	0.04044102414
350	0.04031463561
351	0.04018227144
352	0.04005653506
353	0.0399595849
354	0.0398146174
355	0.03969295879
356	0.03952883982
357	0.03941464209
358	0.03933750201
359	0.03925355021
360	0.03909237304
361	0.03893460387
362	0.03877481486
363	0.03864392264
364	0.03850914098
365	0.03837109878
366	0.03821264785
367	0.03810290346
368	0.03800071125
369	0.03782233512
370	0.0377205693
371	0.0376251851
372	0.03754071334
373	0.03736973785
374	0.03725806589
375	0.0371390934
376	0.03702705767
377	0.03694015605
378	0.03682114902
379	0.0367240317
380	0.03660344472
381	0.03652117861
382	0.03640794494
383	0.03632173109
384	0.03617773922
385	0.03607504336
386	0.03596286825
387	0.03587558126
388	0.03577672517
389	0.03564837101
390	0.03551725847
391	0.03540119788
392	0.03525485648
393	0.03515541264
394	0.03506801422
395	0.03496142648
396	0.0348594883
397	0.03474559473
398	0.03460915007
399	0.03450491281
400	0.03438773373
401	0.03429660277
402	0.03416164776
403	0.0340505788
404	0.03397040175
405	0.03385852396
406	0.03374090673
407	0.03365235036
408	0.03353739419
409	0.03344525697
410	0.03334220932
411	0.03323600945
412	0.03314992172
413	0.03305964843
414	0.03295472061
415	0.03285262081
416	0.03277157499
417	0.03266123332
418	0.03258495485
419	0.03248972057
420	0.03238725514
421	0.03227618936
422	0.03218602932
423	0.03207593475
424	0.03197467832
425	0.0319063548
426	0.031799077
427	0.03168461386
428	0.03160750648
429	0.03146118493
430	0.03132502913
431	0.03125407312
432	0.0311682503
433	0.03107267906
434	0.0309958999
435	0.03089930395
436	0.0308072554
437	0.03070256314
438	0.03063245866
439	0.03055052913
440	0.03047989993
441	0.03041797111
442	0.03033420778
443	0.03024478038
444	0.03014623329
445	0.03005458667
446	0.02997343467
447	0.02987717353
448	0.02976650446
449	0.02969388888
450	0.02959263875
451	0.0295100382
452	0.02946332814
453	0.0293695497
454	0.02928617128
455	0.02921902008
456	0.02913551341
457	0.02907187844
458	0.02898056328
459	0.02889938915
460	0.02882396644
461	0.02873255911
462	0.02867182318
463	0.02860215995
464	0.02851868363
465	0.02843659266
466	0.02837282341
467	0.02831985656
468	0.028267342
469	0.02819250269
470	0.02812883349
471	0.02805248541
472	0.02798191554
473	0.02790800832
474	0.02781972879
475	0.02776604534
476	0.02769324204
477	0.02762642419
478	0.02754268422
479	0.02748345616
480	0.02739995426
481	0.02731138151
482	0.02721352456
483	0.02710343585
484	0.02702461188
485	0.02695270031
486	0.02687889564
487	0.02681663398
488	0.02674750409
489	0.0266533515
490	0.02658232998
491	0.02649530199
492	0.02641906324
493	0.02635759941
494	0.0262923866
495	0.02624168279
496	0.02617444281
497	0.02612892538
498	0.02606434618
499	0.02600632255
